iter	Logloss
0	0.6921845977
1	0.6911530873
2	0.6896451982
3	0.688688854
4	0.6878245244
5	0.6867960576
6	0.6853824116
7	0.6842666042
8	0.6832336263
9	0.6821183623
10	0.6810685359
11	0.6800695812
12	0.6792485686
13	0.6781731977
14	0.6771934285
15	0.6761599615
16	0.6753538409
17	0.6742475447
18	0.6734440872
19	0.6726006825
20	0.6718234218
21	0.6710180077
22	0.6698567636
23	0.6685883411
24	0.6675017196
25	0.6668783784
26	0.6659592096
27	0.6651178701
28	0.6641871248
29	0.663661505
30	0.6626777683
31	0.6619605644
32	0.6608158971
33	0.660046952
34	0.6591388162
35	0.658180461
36	0.6573287407
37	0.6563397864
38	0.6557237824
39	0.6546718363
40	0.6537992455
41	0.6528183894
42	0.651735355
43	0.6508093925
44	0.6499456608
45	0.649219924
46	0.6486154422
47	0.6477194809
48	0.6469008054
49	0.6460930543
50	0.6453780245
51	0.6446346782
52	0.6437642615
53	0.6429498796
54	0.6421801193
55	0.641322203
56	0.6406412507
57	0.6396282193
58	0.638774488
59	0.6378545583
60	0.6372957306
61	0.636352376
62	0.6356487597
63	0.6346181188
64	0.63394733
65	0.633170178
66	0.6323934064
67	0.6316679957
68	0.6310637314
69	0.6302818509
70	0.6296257366
71	0.6290329944
72	0.628370032
73	0.6277893012
74	0.6272818887
75	0.6269398636
76	0.6263569588
77	0.6256297002
78	0.6249752164
79	0.624130942
80	0.6234833606
81	0.6228152892
82	0.6222515157
83	0.6216723611
84	0.6212206031
85	0.6204232872
86	0.6196393415
87	0.6191592671
88	0.6184109206
89	0.6179501949
90	0.6174853929
91	0.6168597689
92	0.6162794186
93	0.6157099927
94	0.6151991561
95	0.6148469132
96	0.6139780182
97	0.6133204908
98	0.6128767222
99	0.6122140315
100	0.6114740007
101	0.611082843
102	0.610466676
103	0.6098496394
104	0.6092673868
105	0.6088073676
106	0.6081547317
107	0.607473888
108	0.6068467423
109	0.6063681354
110	0.6058721364
111	0.6054930988
112	0.605118518
113	0.6046707819
114	0.6042604387
115	0.6037947127
116	0.6033849674
117	0.6028202699
118	0.6023640552
119	0.6019714845
120	0.601498856
121	0.6010529679
122	0.6005829482
123	0.6001693984
124	0.5996103533
125	0.5990869075
126	0.598053984
127	0.59736439
128	0.5969207845
129	0.5961317298
130	0.5954987686
131	0.5949783121
132	0.5943312199
133	0.5937268469
134	0.5933144383
135	0.5929368139
136	0.5924775556
137	0.5920272107
138	0.5915823008
139	0.5910097226
140	0.590522637
141	0.5899536459
142	0.5894465595
143	0.5887037024
144	0.5882977616
145	0.5879532363
146	0.5873751144
147	0.5870436331
148	0.5865912229
149	0.5862121854
150	0.5856518359
151	0.585100889
152	0.5846175536
153	0.5840151372
154	0.5834965286
155	0.5831577101
156	0.5822010397
157	0.5817300961
158	0.5813823642
159	0.5810802864
160	0.5807284782
161	0.5800351341
162	0.5795972354
163	0.5788241596
164	0.5785414304
165	0.5779442316
166	0.5777720505
167	0.5774342646
168	0.577128491
169	0.576287532
170	0.5755908181
171	0.5749585091
172	0.5745448506
173	0.5741466818
174	0.5736886192
175	0.573422195
176	0.5730070146
177	0.5725415061
178	0.572117521
179	0.5716053801
180	0.5712781925
181	0.5707714322
182	0.5702098327
183	0.569859655
184	0.5693185455
185	0.5691139174
186	0.5682986116
187	0.5678070693
188	0.5675052089
189	0.567021167
190	0.5665720178
191	0.5661543373
192	0.5656513815
193	0.5653256614
194	0.5649689074
195	0.5647280278
196	0.5642992055
197	0.563651135
198	0.5632866633
199	0.5628462101
200	0.5625506543
201	0.5622611857
202	0.5619828045
203	0.561713228
204	0.5612614157
205	0.5610005896
206	0.5605910073
207	0.5601479453
208	0.5598128226
209	0.5594542207
210	0.5589552325
211	0.5585542918
212	0.558109545
213	0.5576844729
214	0.5573028266
215	0.5567979142
216	0.5564265943
217	0.5561188641
218	0.5557335763
219	0.5551127351
220	0.5548931608
221	0.5546033661
222	0.5541820441
223	0.5536959912
224	0.5534538616
225	0.5529834071
226	0.5527644306
227	0.5522799539
228	0.5517655302
229	0.5513462736
230	0.5510159337
231	0.5504803135
232	0.5500719813
233	0.5498178402
234	0.5493555383
235	0.548784808
236	0.5483958243
237	0.5481738586
238	0.5476861752
239	0.5472011006
240	0.5467195044
241	0.5465365076
242	0.5460506178
243	0.5454170044
244	0.545187647
245	0.5448315995
246	0.5443318504
247	0.5438890058
248	0.543348005
249	0.5429554886
250	0.5423941064
251	0.5422060551
252	0.5418000599
253	0.5414424363
254	0.5411986218
255	0.5408817607
256	0.5404873421
257	0.5401540673
258	0.5398257927
259	0.5393222935
260	0.5390212483
261	0.538745802
262	0.5385608486
263	0.5380997424
264	0.5378032083
265	0.53737406
266	0.5370441549
267	0.536724685
268	0.5363768988
269	0.5359673165
270	0.5356663256
271	0.5354161522
272	0.5350250489
273	0.5346776431
274	0.5342524079
275	0.5339979408
276	0.5337021676
277	0.5333471528
278	0.5329289831
279	0.5325142376
280	0.5317689891
281	0.5314647916
282	0.5310480894
283	0.5307248694
284	0.5305819286
285	0.5301774009
286	0.5298612464
287	0.5294107384
288	0.5290283312
289	0.5284871129
290	0.5281438377
291	0.5277885512
292	0.5273594028
293	0.5268485119
294	0.5265654566
295	0.5261542438
296	0.5256867243
297	0.5254580735
298	0.5251576261
299	0.5247454894
300	0.5242756872
301	0.5237458824
302	0.5234697296
303	0.5231674887
304	0.5227831249
305	0.5225906712
306	0.5222762559
