iter	Passed	Remaining
429	1673	13891
430	1676	13882
431	1680	13878
432	1683	13872
433	1687	13867
434	1691	13861
435	1694	13853
436	1699	13852
437	1702	13843
438	1705	13835
439	1709	13828
440	1712	13819
441	1716	13816
442	1719	13806
443	1722	13798
444	1726	13793
445	1730	13790
446	1735	13795
447	1739	13791
448	1746	13813
449	1751	13813
450	1754	13802
451	1757	13795
452	1760	13787
453	1764	13781
454	1768	13778
455	1773	13782
456	1777	13781
457	1781	13775
458	1784	13767
459	1788	13767
460	1797	13798
461	1803	13810
462	1807	13811
463	1813	13819
464	1818	13821
465	1826	13848
466	1830	13850
467	1835	13849
468	1843	13879
469	1850	13897
470	1857	13916
471	1861	13912
472	1867	13925
473	1872	13931
474	1877	13931
475	1882	13935
476	1887	13939
477	1892	13941
478	1897	13950
479	1902	13948
480	1907	13956
481	1913	13967
482	1920	13982
483	1925	13985
484	1929	13987
485	1937	14008
486	1940	14000
487	1946	14006
488	1951	14013
489	1957	14021
490	1961	14017
491	1968	14032
492	1973	14038
493	1978	14041
494	1985	14061
495	1990	14059
496	1993	14052
497	1997	14047
498	2001	14043
499	2006	14044
500	2009	14034
501	2013	14028
502	2016	14022
503	2020	14012
504	2025	14016
505	2029	14010
506	2033	14007
507	2038	14012
508	2047	14045
509	2052	14046
510	2059	14061
511	2067	14084
512	2073	14094
513	2082	14122
514	2086	14120
515	2090	14115
516	2097	14133
517	2102	14136
518	2106	14128
519	2112	14135
520	2119	14152
521	2127	14174
522	2136	14203
523	2142	14209
524	2148	14221
525	2156	14244
526	2162	14249
527	2167	14251
528	2172	14254
529	2179	14267
530	2182	14259
531	2185	14248
532	2190	14245
533	2193	14236
534	2196	14224
535	2199	14214
536	2203	14210
537	2207	14204
538	2210	14193
539	2214	14187
540	2217	14177
541	2220	14166
542	2223	14157
543	2226	14145
544	2230	14138
545	2233	14127
546	2236	14115
547	2239	14104
548	2242	14096
549	2245	14085
550	2249	14078
551	2252	14068
552	2255	14057
553	2258	14047
554	2261	14036
555	2264	14029
556	2268	14020
557	2273	14024
558	2277	14017
559	2280	14006
560	2283	13999
561	2289	14004
562	2292	13994
563	2296	13988
564	2299	13982
565	2303	13973
566	2306	13965
567	2309	13955
568	2313	13950
569	2316	13940
570	2320	13932
571	2323	13921
572	2326	13912
573	2329	13906
574	2332	13895
575	2335	13885
576	2340	13884
577	2344	13877
578	2347	13870
579	2350	13860
580	2353	13851
581	2356	13841
582	2360	13835
583	2363	13826
584	2366	13816
585	2370	13808
586	2373	13798
587	2376	13788
588	2379	13777
589	2382	13767
590	2385	13758
591	2388	13752
592	2393	13752
593	2397	13747
594	2400	13739
595	2404	13732
596	2408	13728
597	2412	13722
598	2415	13714
599	2420	13716
600	2424	13714
601	2429	13715
602	2433	13710
603	2437	13706
604	2440	13696
605	2443	13687
606	2447	13680
607	2450	13671
608	2453	13661
609	2456	13652
610	2460	13646
611	2463	13638
612	2466	13628
613	2469	13619
614	2473	13612
615	2477	13608
616	2480	13600
617	2484	13596
618	2487	13588
619	2491	13581
620	2494	13574
621	2497	13564
622	2500	13555
623	2503	13546
624	2506	13537
625	2509	13528
626	2513	13519
627	2516	13509
628	2519	13500
629	2522	13491
630	2526	13486
631	2529	13478
632	2532	13468
633	2535	13459
634	2538	13450
635	2541	13441
636	2544	13432
637	2547	13423
638	2550	13414
639	2553	13405
640	2556	13396
641	2559	13388
642	2562	13379
643	2565	13370
644	2568	13361
645	2573	13360
646	2576	13351
647	2579	13345
648	2582	13335
649	2586	13330
650	2590	13326
651	2593	13318
652	2597	13311
653	2600	13302
654	2607	13318
655	2611	13314
656	2617	13316
657	2620	13309
658	2623	13301
659	2626	13293
660	2629	13285
661	2635	13287
662	2640	13287
663	2643	13280
664	2646	13272
665	2649	13264
666	2652	13256
667	2655	13248
668	2659	13239
669	2662	13233
670	2665	13224
671	2668	13216
672	2672	13211
673	2675	13204
674	2679	13199
675	2682	13191
676	2686	13184
677	2689	13176
678	2692	13168
679	2696	13163
680	2699	13155
681	2703	13150
682	2706	13143
683	2709	13135
684	2712	13127
685	2715	13120
686	2718	13111
687	2722	13107
688	2726	13102
689	2729	13094
690	2733	13088
691	2736	13079
692	2741	13083
693	2745	13077
694	2748	13069
695	2751	13060
696	2754	13053
697	2757	13044
698	2761	13039
699	2764	13031
700	2767	13025
701	2770	13017
702	2774	13010
703	2777	13001
704	2780	12995
705	2783	12988
706	2787	12983
707	2790	12976
708	2793	12968
709	2797	12963
710	2800	12954
711	2803	12948
712	2806	12940
713	2810	12935
714	2814	12930
715	2817	12922
716	2820	12914
717	2823	12906
718	2829	12911
719	2832	12905
720	2836	12898
721	2840	12894
722	2844	12890
723	2847	12886
724	2851	12882
725	2855	12875
726	2858	12869
727	2861	12862
728	2865	12856
729	2868	12849
730	2871	12843
731	2875	12839
732	2879	12835
733	2883	12828
734	2886	12823
735	2889	12816
736	2893	12809
737	2896	12803
738	2899	12796
739	2904	12793
740	2907	12787
741	2911	12782
742	2915	12781
743	2919	12775
744	2923	12774
745	2927	12770
746	2931	12763
747	2934	12757
748	2937	12751
749	2941	12745
750	2945	12741
751	2948	12735
752	2952	12731
753	2956	12727
754	2959	12721
755	2963	12715
756	2966	12709
757	2970	12702
758	2973	12697
759	2977	12691
