,test_rmse,test_mae,test_r2,model_type
NN_LSTM_Transformer,0.010962020417869025,0.008398727870556628,0.9562199804064582,Neural Network
NN_CNN_LSTM,0.013166219340912281,0.010753495693695814,0.9368436664005897,Neural Network
NN_NN_Ensemble,0.017703066730003682,0.015710466506462416,0.8858195497920982,Neural Network
NN_ALFA,0.01865041001162214,0.016085795287408822,0.8732723137057077,Neural Network
NN_BiLSTM_MultiHead,0.05404007607324009,0.05293868064675007,-0.06396328508899374,Neural Network
NN_TCN,0.06460913152970965,0.06387538531441476,-0.5208365627659315,Neural Network
